date,email_hash,drank,source_issue
2026-05-15,22533fb7204accf08d6ddc5d8253d01b3939303ece01b087b2be292cb4b665aa,yes,3
2026-06-09,22533fb7204accf08d6ddc5d8253d01b3939303ece01b087b2be292cb4b665aa,yes,13
